"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","574","Авторизаиця с корректными учетными данными","tests","Fri Oct 17 13:50:08 UTC 2025","passed","Fri Oct 17 13:50:09 UTC 2025","","test_login","",""
"","3805","test_todo_2[chromium]","","Fri Oct 17 13:50:04 UTC 2025","passed","Fri Oct 17 13:50:08 UTC 2025","","test_todo_2","",""
"","463","Авторизаиця с корректными учетными данными","tests","Fri Oct 17 13:50:09 UTC 2025","passed","Fri Oct 17 13:50:10 UTC 2025","","test_login","",""
"","562","Авторизаиця с недействительными учетными данными","tests","Fri Oct 17 13:50:08 UTC 2025","passed","Fri Oct 17 13:50:08 UTC 2025","","test_login","",""
